IngredientName,IngredientShortDescription,IngredientId,PortionUOMTypeId
"Cup, Cold 30 oz.                                   ","Cup, Cold 30 oz.                            ",160,11
"Cup, Cold, 40 oz.                                  ","Cup, Cold 40 oz.                            ",161,11
"Lid, Cold Cup 40 oz                                ","Lid,  Cold Cup 40 oz                        ",162,11
"Beverage, Juice Box                                ",Juice Box                                   ,163,11
"Gravy, Biscuit Gravy, Sausage                      ","Gravy, Biscuit Gravy, Sa                    ",164,15
BBQ Sauce Packet                                   ,BBQ Sauce Packet                            ,165,0
Apple Pie                                          ,Apple Pie                                   ,166,11
"Water, Bottle                                      ","Water, Bottle                               ",167,11
Bagel                                              ,Bagel                                       ,168,11
Green Chile                                        ,Green Chile                                 ,169,15
"Box, Specialty - Small                             ","Box, Specialty - Small                      ",170,11
"Box, Specialty- Large                              ","Box, Specialty - Large                      ",171,11
Coffee                                             ,"Coffee, filter style gro                    ",172,15
"Chicken, Oven Crisp                                ","Chicken, Oven Crisp                         ",173,15
"Smoothie, Strawberry Concentrate                   ","Smoothie, Strawberry Con                    ",174,15
"Smoothie, Mango Concentrate                        ","Smoothie, Mango Concentr                    ",175,15
"Smoothie, Non Fat Vanilla Yogurt                   ","Smoothie, Non Fat Vanill                    ",176,15
"Fruit Blend, Parfait                               ","Fruit Blend, Parfait                        ",177,15
"Granola, Parfait                                   ","Granola, Parfait                            ",178,11
"Cup & Lid,  7 oz Parfait                           ","Cup & Lid, 7 oz Parfait                     ",179,11
"Lid, Hot Cup 12 & 16 oz                            ","Lid, Hot Cup 12 & 16 oz                     ",180,11
"Toy, Kids Meal Premium                             ","Toy, Kids Meal Premium                      ",181,11
Golden Italian Sauce                               ,"Italian, Golden Italian                     ",182,15
Hummus                                             ,Hummus                                      ,183,15
"Mayonnaise Packets, PC Packets                     ","Mayonnaise Packets, PC P                    ",184,11
Creamy Italian Sauce                               ,Creamy Italian Sauce                        ,185,12
"Mustard Packets, PC Packets                        ","Mustard Packets, PC Pack                    ",186,11
"Vinegar Packets, PC Packets                        ","Vinegar Packets, PC Pack                    ",187,11
"Oil Packets, PC Packets                            ","Oil Packets, PC Packets                     ",188,11
Hot Chocolate powder                               ,Hot Chocolate powder                        ,189,11
"Tea bag, single serve                              ","Tea bag, single serve                       ",190,11
"Ice Tea, Brewed bulk                               ","Ice Tea, Brewed bulk                        ",191,11
"Chicken, Shaved                                    ","Chicken, Shaved                             ",192,15
"Cups, Cold, 12 oz./350ml-360ml                     ","Cups, Cold, 12 oz./350ml                    ",193,11
"Bag, Catering Tray carry bag                       ","Bag, Catering Tray carry                    ",194,11
"Cleaner, Coffee Pot Cleaner                        ","Cleaner, Coffee Pot Clea                    ",195,11
"Cream Cheese, Portion Control pack                 ","Cream Cheese, Portion Co                    ",196,11
Drink Carrier                                      ,Drink Carrier                               ,197,11
"Cleaner, Acrylic Cleaner                           ","Cleaner, Acrylic Cleaner                    ",198,11
"Cup, Clear 7 oz.                                   ","Cup,  Clear 7 oz.                           ",199,11
"Cleaning, Board Bright Cutting Board Cleaner       ","Cleaning, Board Bright C                    ",200,11
"Cleaner, Liquid Drain cleaner                      ","Cleaner, Liquid Drain C                     ",201,11
"Cleaning, Trash Can Liner                          ","Cleaning, Trash Can Line                    ",202,11
"Cleaner, Degreaser                                 ","Cleaner, Degreaser                          ",203,11
"Lid, Cold  Cup 7 oz.                               ","Lid, Cold Cup 7 oz.                         ",204,11
House Sandwich Sauce - Metric                      ,House Sandwich Sauce - M                    ,205,15
Greek Vinaigrette Sauce Dressing - Metric          ,Greek Vin. Sauce Dressin                    ,206,0
Lobster                                            ,"Lobster, picked lobster                     ",207,15
Fruit Roll-up                                      ,Fruit Roll-up                               ,208,11
"Cleaner, De-Limer & Scale Remover                  ","Cleaner, De-Limer & Sca                     ",209,11
"Cleaner, Dish Detergent                            ","Cleaner, Dish Detergent                     ",210,11
"Cleaning, Towels - Paper                           ","Cleaning, Towels - Paper Roll               ",211,11
Distributor Fee                                    ,Distributor Fee                             ,212,11
Distributor Credit / Discount                      ,Distributor Credit / Dis                    ,213,0
"Cleaner, Floor                                     ","Cleaner, Floor                              ",214,11
"Cleaner, Freezer                                   ","Cleaner, Freezer                            ",215,11
"Cleaner, Glass                                     ","Cleaner, Glass                              ",216,11
"Cleaner, Graffiti Remover                          ","Cleaner, Graffiti Remove                    ",217,11
"Cleaner, Hand Sanitizer                            ","Cleaner, Hand Sanitizer                     ",218,11
"Cleaner, Kleer Wash                                ","Cleaner, Kleer Wash                         ",219,11
Apple Snapz                                        ,Apple Snapz                                 ,220,0
"Cleaner, Oven                                      ","Cleaner, Oven                               ",221,11
"Cleaner, Hand Soap                                 ","Cleaner, Hand Soap                          ",222,11
"Cleaner, Restroom Cleaner                          ","Cleaner, Restroom Cleane                    ",223,11
Distributor Credit                                 ,Distributor Credit                          ,224,11
SUBWAY Card                                        ,SUBWAY Card                                 ,225,11
"Cleaner, Ice Machine                               ","Cleaner, Ice Machine                        ",226,11
"Cleaner, Fountain Machine Drain                    ","Cleaner, Fountain Machin                    ",227,11
"Cleaner, Spot Remover                              ","Cleaner, Spot Remover                       ",228,11
"Cleaner, Stainless Steel Polish                    ","Cleaner, Stainless Steel                    ",229,11
"Cleaning, Deck Brush                               ","Cleaning, Deck Brush                        ",230,11
"Cleaning, Broom Handle                             ","Cleaning, Broom Handle                      ",231,11
"Cleaning, Wiper                                    ","Cleaning, Wiper                             ",232,11
"Cleaning, Grease Trap Maintainer                   ","Cleaning, Grease Trap Ma                    ",233,11
"Cleaning, Mop Head                                 ","Cleaning, Mop Head                          ",234,11
"Cleaning, Mop Bucket                               ","Cleaning, Mop Bucket                        ",235,11
"Cleaning, Broom                                    ","Cleaning, Broom                             ",236,11
"Cleaning, Mini Mop Refills                         ","Cleaning, Mini Mop Refil                    ",237,11
"Cleaning, Mini Mop Starter Kit                     ","Cleaning, Mini Mop Start                    ",238,11
"Cleaning, Restroom Bowl Brush                      ","Cleaning, Restroom Bowl                     ",239,11
"Cleaning, Power Eraser Supplies                    ","Cleaning, Power Eraser S                    ",240,11
"Cleaning, Squeegee                                 ","Cleaning, Squeegee                          ",241,11
Coffee Filters                                     ,Coffee Filters                              ,242,11
Pan Liner                                          ,Pan Liner                                   ,243,11
"Pan Liner, Soup                                    ","Pan Liner, Soup                             ",244,11
Baking Paper                                       ,Baking Paper                                ,245,11
"Register Roll, Thermal                             ","Register Roll, Thermal                      ",246,11
"Register Roll, Bond                                ","Register Roll, Bond                         ",247,11
PVC Film                                           ,PVC Film                                    ,248,11
Pan Coating Spray                                  ,Pan Coating Spray                           ,249,11
Coffee Stirrer                                     ,Coffee Stirrer                              ,250,11
"Sweetner, Splenda                                  ","Sweetner, Splenda                           ",251,11
"Tissue, Roll                                       ","Tissue, Roll                                ",252,11
"Cleaner, Surface Sanitizer                         ","Cleaner, Surface Sanitiz                    ",253,11
"Cleaner, Sanitizer                                 ","Cleaner, Sanitizer liqui                    ",254,0
"Tray & Lid , Aluminum Catering 1/3 size            ","Tray & Lid, Aluminim Cat                    ",255,11
Paper Products                                     ,Paper Products                              ,256,0
Falafel                                            ,Falafel Balls                               ,257,15
"Sauce, Zesty Tzatziki Cucumber                     ","Sauce, Zesty Tzatiki Cuc                    ",258,15
Gluten-Free Bread                                  ,Gluten-Free Bread                           ,259,11
"Sauce, Gorganzola                                  ","Sauce, Gorganzola                           ",260,15
"Sauce, Wasabi                                      ","Sauce, Wasabi style                         ",261,15
"Smoothie, Pomagranate Berry Concentrate            ","Smoothie, Pomagranate Be                    ",262,15
"Cup, Smoothie 16 oz. clear                         ","Cup, Smoothie 16 oz. cle                    ",263,11
"Lid, Smoothie                                      ","Lid, Smoothie                               ",264,11
"Juice, Chilled Orange                              ","Juice, Chilled Orange Ju                    ",265,11
"Chicken Salad, Southwest Style                     ",Southwest Style Chicken                     ,266,15
"Eggplant, Breaded Peel-On Eggplant                 ","Eggplant, Breaded Peel-O                    ",267,15
Braised Beef with Vegetables & Gravy               ,Braised Beef with Vegeta                    ,268,15
"Jug, 1 Gallon                                      ","Jug, 1 Gallon                               ",269,11
"Sweet Peppers, Topping                             ","Sweet Peppers, Topping                      ",270,15
"Chicken Fritter Patty, No-Fry Crisp                ","Chicken Fritter Patty, N                    ",271,15
Horseradish Mayonnaise Sauce                       ,Horseradish Mayonnaise S                    ,272,15
"Creamers, individual portions                      ","Creamers, individual por                    ",273,11
Sweetener packets                                  ,Sweetener packets                           ,274,11
Chicken Strips - Metric                            ,Chicken Strips - Metric                     ,275,13
"Chicken, Oven Roasted Patty - Metric               ","Chicken, Oven Roasted Pa                    ",276,13
Salami - Metric                                    ,Salami - Metric                             ,277,13
Ham - Metric                                       ,Ham - Metric                                ,278,13
Meatballs - Metric                                 ,Meatballs - Metric                          ,279,13
Pepperoni - Metric                                 ,Pepperoni - Metric                          ,280,13
Roast Beef - Metric                                ,Roast Beef Metric                           ,281,13
"Steak, Shaved - Metric                             ","Steak, Shaved - Metric                      ",282,13
Tuna - Metric                                      ,Tuna - Metric                               ,283,13
"Cheese, Sliced - Metric                            ","Cheese, Sliced - Metric                     ",284,13
Olives - Metric                                    ,Olives - Metric                             ,285,13
Pickles - Metric                                   ,Pickles - Metric                            ,286,13
Jalapeno Peppers - Metric                          ,Jalapeno Peppers - Metri                    ,287,13
Banana Peppers - Metric                            ,Banana Peppers - Metric                     ,288,13
Green Peppers - Metric                             ,Green Peppers - Metric                      ,289,13
Onions - Metric                                    ,Onions - Metric                             ,290,13
Lettuce - Metric                                   ,Lettuce - Metric                            ,291,13
Tomatoes - Metric                                  ,Tomatoes - Metric                           ,292,13
"Cheese, Shredded - Metric                          ","Cheese, Shredded - Metri                    ",293,13
Parmesan Cheese - Metric                           ,Parmesan Cheese - Metric                    ,294,13
Mayonnaise - Metric                                ,Mayonnaise - Metric                         ,295,13
Ranch - Metric                                     ,Ranch - Metric                              ,296,13
Buffalo Sauce - Metric                             ,Buffalo Sauce - Metric                      ,297,13
Honey Mustard Sauce - Metric                       ,Honey Mustard Sauce - Me                    ,298,13
