RecipeName,RecipeDescription,RecipeId
FtL/BqRib         ,BBQ Rib FtLong                            ,1796
FfB/BqRib         ,BBQ Rib FtFbd                             ,1797
Six/BqRib         ,BBQ Rib 6 inch                            ,1798
fBd/BqRib         ,BBQ Rib FlatBd                            ,1799
Sld/BqRib         ,BBQ Rib Salad                             ,1800
#NOM?,BBQ Rib Portn                             ,1801
Wrp/BqRib         ,BBQ Rib Wrap                              ,1802
FtL/Falfel        ,Falafel FtLong                            ,1803
FfB/Falfel        ,Falafel FtFbd                             ,1804
Six/Falfel        ,Falafel 6 inch                            ,1805
fBd/Falfel        ,Falafel FlatBd                            ,1806
Sld/Falfel        ,Falafel Salad                             ,1807
dmF/Falfel        ,Falafel ExtrFT                            ,1808
adF/Falfel        ,Falafel AddFt                             ,1809
dm6/Falfel        ,Falafel Extr6                             ,1810
ad6/Falfel        ,Falafel Add6in                            ,1811
#NOM?,Falafel Portn                             ,1812
PstrPastry Bite   ,Pastry Bite Pastry                        ,1813
PstrPstyB3        ,Pastry Bite (3) Pastry                    ,1814
3fb/Ham           ,Ham 3Fbd                                  ,1815
3fb/BLT           ,BLT 3Fbd                                  ,1816
3fb/PizzaS        ,Pizza Sub 3Fbd                            ,1817
3fb/Tuna          ,Tuna 3Fbd                                 ,1818
3fb/Turkey        ,Turkey 3Fbd                               ,1819
PlS/StdBse        ,Standard Base SndPlt                      ,1820
Soup10SupR        ,Soup RTE 10oz Soup                        ,1821
Soup8SoupR        ,Soup RTE 8oz Soup                         ,1822
FtL/ZBStkC        ,Zesty Baja Steak FtLong                   ,1823
FfB/ZBStkC        ,Zesty Baja Steak FtFbd                    ,1824
Six/ZBStkC        ,Zesty Baja Steak 6 inch                   ,1825
Sld/ZBStkC        ,Zesty Baja Steak Salad                    ,1826
fBd/ZBStkC        ,Zesty Baja Steak FlatBd                   ,1827
Wrp/ZBStkC        ,Zesty Baja Steak Wrap                     ,1828
dmF/ZBStkC        ,Zesty Baja Steak ExtrFT                   ,1829
dm6/ZBStkC        ,Zesty Baja Steak Extr6                    ,1830
GS3/StdBse        ,Standard Base 3FTGnt                      ,1831
PlS/MeatCh        ,MeatChsPlatter SndPlt                     ,1832
BsM/Biscut        ,Biscuit BscMlt                            ,1833
Sld/EggChs        ,Egg & Cheese Salad                        ,1834
FtL/Tuscan        ,Tuscan Chickn FtLong                      ,1835
FfB/Tuscan        ,Tuscan Chickn FtFbd                       ,1836
Six/Tuscan        ,Tuscan Chickn 6 inch                      ,1837
fBd/Tuscan        ,Tuscan Chickn FlatBd                      ,1838
Sld/Tuscan        ,Tuscan Chickn Salad                       ,1839
dmF/Tuscan        ,Tuscan Chickn ExtrFT                      ,1840
dm6/Tuscan        ,Tuscan Chickn Extr6                       ,1841
Wrp/Tuscan        ,Tuscan Chickn Wrap                        ,1842
FtL/ChxStr        ,Chickn Strips FtLong                      ,1843
FfB/ChxStr        ,Chickn Strips FtFbd                       ,1844
Six/ChxStr        ,Chickn Strips 6 inch                      ,1845
fBd/ChxStr        ,Chickn Strips FlatBd                      ,1846
Sld/ChxStr        ,Chickn Strips Salad                       ,1847
Mni/ChxStr        ,Chickn Strips Mini                        ,1848
BxL/ChxStr        ,Chickn Strips BoxLn                       ,1849
dmF/ChxStr        ,Chickn Strips ExtrFT                      ,1850
dm6/ChxStr        ,Chickn Strips Extr6                       ,1851
adF/ChxStr        ,Chickn Strips AddFt                       ,1852
ad6/ChxStr        ,Chickn Strips Add6in                      ,1853
Wrp/ChxStr        ,Chickn Strips Wrap                        ,1854
PlS/BBQMTy        ,BBQMtbTray SndPlt                         ,1855
Smo/16MSND        ,16oz Mango SmoothieND Smooth              ,1856
Smo/16PBND        ,16oz Pom BeryND Smooth                    ,1857
Smo/16SwND        ,16oz Straw SmoothieND Smooth              ,1858
Coo/3PCBag        ,3 Pack Cookie Bag Cookie                  ,1859
Coo/12PCBg        ,12 Pack Cookie Bag Cookie                 ,1860
16oz16CDrk        ,16oz Fountain Drink 16Fnt                 ,1861
21oz21CDrk        ,21oz Fountain Drink 21Fnt                 ,1862
32oz32CDrk        ,32oz Carbonated Fountain 32Fnt            ,1863
16oz16Rfil        ,16oz Refill 16Fnt                         ,1864
21oz21Rfil        ,21oz Refill 21Fnt                         ,1865
32oz32Rfil        ,32oz Refill 32Fnt                         ,1866
Wrp/Falfel        ,Falafel Wrap                              ,1867
Soup10SopS        ,10oz Soup with Sub Soup                   ,1868
Soup8SoupS        ,8oz Soup with Sub Soup                    ,1869
Soup10SRS         ,Soup RTU 10oz with Sub Soup               ,1870
#NOM?,Steak & Chse Portn                        ,1871
FbK/ZBStkC        ,Zesty Baja Steak Ftbk                     ,1872
Bkf/ZBStkC        ,Zesty Baja Steak FtbkFb                   ,1873
6Bk/ZBStkC        ,Zesty Baja Steak SixBkf                   ,1874
6Bf/ZBStkC        ,Zesty Baja Steak 6BkfFb                   ,1875
Mlt/ZBStkC        ,Zesty Baja Steak EngMf                    ,1876
BgM/ZBStkC        ,Zesty Baja Steak BglMlt                   ,1877
CrM/ZBStkC        ,Zesty Baja Steak CrsMlt                   ,1878
BsM/ZBStkC        ,Zesty Baja Steak BscMlt                   ,1879
3Bf/ZBStkC        ,Zesty Baja Steak 3BkfFb                   ,1880
Smo/MohSmt        ,16oz Mocha Smoothie Smooth                ,1881
Smo/CarSmt        ,16oz Caramel Smoothie Smooth              ,1882
Piz/StCFPz        ,SteakChsFlatPizza Pizza                   ,1883
FtL/Tst4Ch        ,GardenGrlCheese FtLong                    ,1884
FfB/Tst4Ch        ,GardenGrlCheese FtFbd                     ,1885
Six/Tst4Ch        ,GardenGrlCheese 6 inch                    ,1886
fBd/Tst4Ch        ,Toasted4Cheese FlatBd                     ,1887
FtL/Ts4CHm        ,Toasted4ChseHam FtLong                    ,1888
FfB/Ts4CHm        ,Toasted4ChseHam FtFbd                     ,1889
Six/Ts4CHm        ,Toasted4ChseHam 6 inch                    ,1890
fBd/Ts4CHm        ,Toasted4ChseHam FlatBd                    ,1891
adF/Ts4CHm        ,Toasted4ChseHam AddFt                     ,1892
ad6/Ts4CHm        ,Toasted4ChseHam Add6in                    ,1893
Mni/CCTrio        ,Cold Cut Combo Mini                       ,1894
FtL/STkyBc        ,Savory Turkey & Bacon FtLong              ,1895
FfB/STkyBc        ,Savory Turkey & Bacon FtFbd               ,1896
Six/STkyBc        ,Savory Turkey & Bacon 6 inch              ,1897
fBd/STkyBc        ,Savory Turkey & Bacon FlatBd              ,1898
Sld/STkyBc        ,Savory Turkey & Bacon Salad               ,1899
dmF/STkyBc        ,Savory Turkey & Bacon ExtrFT              ,1900
dm6/STkyBc        ,Savory Turkey & Bacon Extr6               ,1901
FtL/MStkBc        ,Montreal Steak & Bacon FtLong             ,1902
FfB/MStkBc        ,Montreal Steak & Bacon FtFbd              ,1903
Six/MStkBc        ,Montreal Steak & Bacon 6 inch             ,1904
fBd/MStkBc        ,Montreal Steak & Bacon FlatBd             ,1905
Sld/MStkBc        ,Montreal Steak & Bacon Salad              ,1906
dmF/MStkBc        ,Montreal Steak & Bacon ExtrFT             ,1907
dm6/MStkBc        ,Montreal Steak & Bacon Extr6              ,1908
FtL/SriMlt        ,Sriracha Chicken Melt FtLong              ,1909
FfB/SriMlt        ,Sriracha Chicken Melt FtFbd               ,1910
Six/SriMlt        ,Sriracha Chicken Melt 6 inch              ,1911
fBd/SriMlt        ,Sriracha Chicken Melt FlatBd              ,1912
Sld/SriMlt        ,Sriracha Chicken Melt Salad               ,1913
dmF/SriMlt        ,Sriracha Chicken Melt ExtrFT              ,1914
dm6/SriMlt        ,Sriracha Chicken Melt Extr6               ,1915
FtL/SMGlCh        ,Sweet Mustard Glazed Chi FtLong           ,1916
FfB/SMGlCh        ,Sweet Mustard Glazed Chi FtFbd            ,1917
Six/SMGlCh        ,Sweet Mustard Glazed Chi 6 inch           ,1918
fBd/SMGlCh        ,Sweet Mustard Glazed Chi FlatBd           ,1919
Sld/SMGlCh        ,Sweet Mustard Glazed Chi Salad            ,1920
BxL/SMGlCh        ,Sweet Mustard Glazed Chi BoxLn            ,1921
dmF/SMGlCh        ,Sweet Mustard Glazed Chi ExtrFT           ,1922
dm6/SMGlCh        ,Sweet Mustard Glazed Chi Extr6            ,1923
SoupChili         ,Chili Soup                                ,1924
Piz/VgPiza        ,Veggie Pizza Pizza                        ,1925
Piz/VFPiza        ,Veggie Flt Pizza Pizza                    ,1926
Piz/PFPiza        ,Pepperoni Flt Pizza Pizza                 ,1927
Piz/CFPiza        ,Cheese Flt Pizza Pizza                    ,1928
#NOM?,SmkhseBBQCkn Portn                        ,1929
FtL/ClubAv        ,SubwayClubAvo FtLong                      ,1930
BxL/ClubAv        ,SubwayClubAvo BoxLn                       ,1931
fBd/ClubAv        ,SubwayClubAvo FlatBd                      ,1932
FfB/ClubAv        ,SubwayClubAvo FtFbd                       ,1933
Six/ClubAv        ,SubwayClubAvo 6 inch                      ,1934
Sld/ClubAv        ,SubwayClubAvo Salad                       ,1935
Soup12Soup        ,12oz Soup Soup                            ,1936
H12/CoffSS        ,Coffee Single Serve 12Hot                 ,1937
H12/CofSSR        ,CoffeeSingleServeRefill 12Hot             ,1938
fBd/BfChiC        ,Beef Chili Colorado FlatBd                ,1939
FfB/BfChiC        ,Beef Chili Colorado FtFbd                 ,1940
FtL/BfChiC        ,Beef Chili Colorado FtLong                ,1941
Six/BfChiC        ,Beef Chili Colorado 6 inch                ,1942
Sld/BfChiC        ,Beef Chili Colorado Salad                 ,1943
dmF/BfChiC        ,Beef Chili Colorado ExtrFT                ,1944
adF/BfChiC        ,Beef Chili Colorado AddFt                 ,1945
dm6/BfChiC        ,Beef Chili Colorado Extr6                 ,1946
ad6/BfChiC        ,Beef Chili Colorado Add6in                ,1947
Smo/12MgSm        ,12oz Mango Smoothie Smooth                ,1948
Smo/12MSND        ,12oz Mango SmoothieND Smooth              ,1949
Smo/12MhSm        ,12oz Mocha Smoothie Smooth                ,1950
Smo/12PmBr        ,12oz Pom Bery Smooth                      ,1951
Smo/12PBND        ,12oz Pom BeryND Smooth                    ,1952
Smo/12SwSm        ,12oz Straw Smoothie Smooth                ,1953
Smo/12SwND        ,12oz Straw SmoothieND Smooth              ,1954
Smo/12CrSm        ,12oz CaramelSmoothie Smooth               ,1955
FtL/TkBcAv        ,TkyBcnAvo FtLong                          ,1956
BgM/StkEgg        ,"Stk, Egg & Chs BglMlt                     ",1957
MercReUBag        ,Reusable Bag Merdse                       ,1958
Soup8SRTS         ,Soup RTU 8oz with Sub Soup                ,1959
FfB/TkBcAv        ,TkyBcnAvo FtFbd                           ,1960
BxL/TkBcAv        ,TkyBcnAvo BoxLn                           ,1961
fBd/TkBcAv        ,TkyBcnAvo FlatBd                          ,1962
Six/TkBcAv        ,TkyBcnAvo 6 inch                          ,1963
Sld/TkBcAv        ,TkyBcnAvo Salad                           ,1964
dmF/TkBcAv        ,TkyBcnAvo ExtrFT                          ,1965
adF/TkBcAv        ,TkyBcnAvo AddFt                           ,1966
dm6/TkBcAv        ,TkyBcnAvo Extr6                           ,1967
ad6/TkBcAv        ,TkyBcnAvo Add6in                          ,1968
Wrp/TkBcAv        ,TkyBcnAvo Wrap                            ,1969
dmF/ClubAv        ,SubwayClubAvo ExtrFT                      ,1970
dm6/ClubAv        ,SubwayClubAvo Extr6                       ,1971
Wrp/ClubAv        ,SubwayClubAvo Wrap                        ,1972
fBd/CStkAv        ,Chp Stk Chs Avo FlatBd                    ,1973
FfB/CStkAv        ,Chp Stk Chs Avo FtFbd                     ,1974
FtL/CStkAv        ,Chp Stk Chs Avo FtLong                    ,1975
Six/CStkAv        ,Chp Stk Chs Avo 6 inch                    ,1976
Sld/CStkAv        ,Chp Stk Chs Avo Salad                     ,1977
dmF/CStkAv        ,Chp Stk Chs Avo ExtrFT                    ,1978
dm6/CStkAv        ,Chp Stk Chs Avo Extr6                     ,1979
Wrp/CStkAv        ,Chp Stk Chs Avo Wrap                      ,1980
fBd/SpCkEn        ,Spicy Chk Enchilada FlatBd                ,1981
FfB/SpCkEn        ,Spicy Chk Enchilada FtFbd                 ,1982
FtL/SpCkEn        ,Spicy Chk Enchilada FtLong                ,1983
Six/SpCkEn        ,Spicy Chk Enchilada 6 inch                ,1984
Sld/SpCkEn        ,Spicy Chk Enchilada Salad                 ,1985
dmF/SpCkEn        ,Spicy Chk Enchilada ExtrFT                ,1986
dm6/SpCkEn        ,Spicy Chk Enchilada Extr6                 ,1987
fBd/PrimeR        ,Prime Rib Melt FlatBd                     ,1988
FfB/PrimeR        ,Prime Rib Melt FtFbd                      ,1989
FtL/PrimeR        ,Prime Rib Melt FtLong                     ,1990
Six/PrimeR        ,Prime Rib Melt 6 inch                     ,1991
Sld/PrimeR        ,Prime Rib Melt Salad                      ,1992
dmF/PrimeR        ,Prime Rib Melt ExtrFT                     ,1993
dm6/PrimeR        ,Prime Rib Melt Extr6                      ,1994
fBd/CrCkEn        ,Crunchy Chk Enchilada FlatBd              ,1995
FfB/CrCkEn        ,Crunchy Chk Enchilada FtFbd               ,1996
FtL/CrCkEn        ,Crunchy Chk Enchilada FtLong              ,1997
Six/CrCkEn        ,Crunchy Chk Enchilada 6 inch              ,1998
Sld/CrCkEn        ,Crunchy Chk Enchilada Salad               ,1999
dmF/CrCkEn        ,Crunchy Chk Enchilada ExtrFT              ,2000
dm6/CrCkEn        ,Crunchy Chk Enchilada Extr6               ,2001
BxL/EggS          ,Egg Salad BoxLn                           ,2002
fBd/EggS          ,Egg Salad FlatBd                          ,2003
FfB/EggS          ,Egg Salad FtFbd                           ,2004
FtL/EggS          ,Egg Salad FtLong                          ,2005
Mni/EggS          ,Egg Salad Mini                            ,2006
Six/EggS          ,Egg Salad 6 inch                          ,2007
Sld/EggS          ,Egg Salad Salad                           ,2008
dmF/EggS          ,Egg Salad ExtrFT                          ,2009
dm6/EggS          ,Egg Salad Extr6                           ,2010
Piz/WesFlz        ,WesternFlatizza Pizza                     ,2011
Piz/BECFlz        ,BaconEggChsFlatizza Pizza                 ,2012
Piz/StEFlz        ,StkEggChsFlatizza Pizza                   ,2013
Piz/SgEFlz        ,SsgeEggChsFlatizza Pizza                  ,2014
Piz/BBMTFz        ,BreakfastBMTFlatizza Pizza                ,2015
Piz/SunFlz        ,SunriseFlatizza Pizza                     ,2016
Piz/EggFlz        ,EggCheeseFlatizza Pizza                   ,2017
#NOM?,Beef Strips Portn                         ,2018
adF/Bacon         ,Bacon AddFt                               ,2019
ad6/BeefSp        ,Beef Strips Add6in                        ,2020
fBd/TheBoss       ,TheBoss FlatBd                            ,2021
FfB/TheBoss       ,TheBoss FtFbd                             ,2022
FtL/TheBoss       ,TheBoss FtLong                            ,2023
Six/TheBoss       ,TheBoss 6 inch                            ,2024
Sld/TheBoss       ,TheBoss Salad                             ,2025
BxL/Veggie        ,Veggie Delite BoxLn                       ,2026
fBd/Veggie        ,Veggie Delite FlatBd                      ,2027
FfB/Veggie        ,Veggie Delite FtFbd                       ,2028
FtL/Veggie        ,Veggie Delite FtLong                      ,2029
Mni/Veggie        ,Veggie Delite Mini                        ,2030
Six/Veggie        ,Veggie Delite 6 inch                      ,2031
Sld/Veggie        ,Veggie Delite Salad                       ,2032
BxL/Turkey        ,Turkey BoxLn                              ,2033
fBd/Turkey        ,Turkey FlatBd                             ,2034
FfB/Turkey        ,Turkey FtFbd                              ,2035
FtL/Turkey        ,Turkey FtLong                             ,2036
Mni/Turkey        ,Turkey Mini                               ,2037
Six/Turkey        ,Turkey 6 inch                             ,2038
Sld/Turkey        ,Turkey Salad                              ,2039
dmF/Turkey        ,Turkey ExtrFT                             ,2040
adF/Turkey        ,Turkey AddFt                              ,2041
ad6/Turkey        ,Turkey Add6in                             ,2042
dm6/Turkey        ,Turkey Extr6                              ,2043
#NOM?,Turkey Portn                              ,2044
BxL/SkTkyT        ,Smoked Turkey Thigh BoxLn                 ,2045
fBd/SkTkyT        ,Smoked Turkey Thigh FlatBd                ,2046
FfB/SkTkyT        ,Smoked Turkey Thigh FtFbd                 ,2047
FtL/SkTkyT        ,Smoked Turkey Thigh FtLong                ,2048
Mni/SkTkyT        ,Smoked Turkey Thigh Mini                  ,2049
Six/SkTkyT        ,Smoked Turkey Thigh 6 inch                ,2050
Sld/SkTkyT        ,Smoked Turkey Thigh Salad                 ,2051
dmF/SkTkyT        ,Smoked Turkey Thigh ExtrFT                ,2052
adF/SkTkyT        ,Smoked Turkey Thigh AddFt                 ,2053
ad6/SkTkyT        ,Smoked Turkey Thigh Add6in                ,2054
dm6/SkTkyT        ,Smoked Turkey Thigh Extr6                 ,2055
#NOM?,Smoked Turkey Thigh Portn                 ,2056
BxL/RstBf         ,Roast Beef BoxLn                          ,2057
fBd/RstBf         ,Roast Beef FlatBd                         ,2058
FfB/RstBf         ,Roast Beef FtFbd                          ,2059
FtL/RstBf         ,Roast Beef FtLong                         ,2060
Mni/RstBf         ,Roast Beef Mini                           ,2061
Six/RstBf         ,Roast Beef 6 inch                         ,2062
Sld/RstBf         ,Roast Beef Salad                          ,2063
dmF/RstBf         ,Roast Beef ExtrFT                         ,2064
adF/RstBf         ,Roast Beef AddFt                          ,2065
ad6/RstBf         ,Roast Beef Add6in                         ,2066
dm6/RstBf         ,Roast Beef Extr6                          ,2067
#NOM?,Roast Beef Portn                          ,2068
BxL/RstChx        ,Rst Chicken BoxLn                         ,2069
fBd/RstChx        ,Rst Chicken FlatBd                        ,2070
FfB/RstChx        ,Rst Chicken FtFbd                         ,2071
FtL/RstChx        ,Rst Chicken FtLong                        ,2072
Mni/RstChx        ,Rst Chicken Mini                          ,2073
Six/RstChx        ,Rst Chicken 6 inch                        ,2074
Sld/RstChx        ,Rst Chicken Salad                         ,2075
dmF/RstChx        ,Rst Chicken ExtrFT                        ,2076
adF/RstChx        ,Rst Chicken AddFt                         ,2077
ad6/RstChx        ,Rst Chicken Add6in                        ,2078
dm6/RstChx        ,Rst Chicken Extr6                         ,2079
fBd/Steak         ,Steak & Chse FlatBd                       ,2080
FfB/Steak         ,Steak & Chse FtFbd                        ,2081
FtL/Steak         ,Steak & Chse FtLong                       ,2082
Six/Steak         ,Steak & Chse 6 inch                       ,2083
Sld/Steak         ,Steak & Chse Salad                        ,2084
dmF/Steak         ,Steak & Chse ExtrFT                       ,2085
adF/Steak         ,Steak & Chse AddFt                        ,2086
ad6/Steak         ,Steak & Chse Add6in                       ,2087
dm6/Steak         ,Steak & Chse Extr6                        ,2088
adF/Cheese        ,Cheese AddFt                              ,2089
ad6/Cheese        ,Cheese Add6in                             ,2090
BxL/BLT           ,BLT BoxLn                                 ,2091
fBd/BLT           ,BLT FlatBd                                ,2092
FfB/BLT           ,BLT FtFbd                                 ,2093
FtL/BLT           ,BLT FtLong                                ,2094
Six/BLT           ,BLT 6 inch                                ,2095
Sld/BLT           ,BLT Salad                                 ,2096
dmF/BLT           ,BLT ExtrFT                                ,2097
dm6/BLT           ,BLT Extr6                                 ,2098
BxL/Spicy         ,Spicy Italian BoxLn                       ,2099
fBd/Spicy         ,Spicy Italian FlatBd                      ,2100
FfB/Spicy         ,Spicy Italian FtFbd                       ,2101
FtL/Spicy         ,Spicy Italian FtLong                      ,2102
Six/Spicy         ,Spicy Italian 6 inch                      ,2103
Sld/Spicy         ,Spicy Italian Salad                       ,2104
dmF/Spicy         ,Spicy Italian ExtrFT                      ,2105
adF/Spicy         ,Spicy Italian AddFt                       ,2106
ad6/Spicy         ,Spicy Italian Add6in                      ,2107
dm6/Spicy         ,Spicy Italian Extr6                       ,2108
#NOM?,Salami Portn                              ,2109
#NOM?,Pepperoni Portn                           ,2110
BxL/TkBTgh        ,TkyBrst & Smk Tky Thigh BoxLn             ,2111
fBd/TkBTgh        ,TkyBrst & Smk Tky Thigh FlatBd            ,2112
FfB/TkBTgh        ,TkyBrst & Smk Tky Thigh FtFbd             ,2113
FtL/TkBTgh        ,TkyBrst & Smk Tky Thigh FtLong            ,2114
Six/TkBTgh        ,TkyBrst & Smk Tky Thigh 6 inch            ,2115
Sld/TkBTgh        ,TkyBrst & Smk Tky Thigh Salad             ,2116
dmF/TkBTgh        ,TkyBrst & Smk Tky Thigh ExtrFT            ,2117
adF/TkBTgh        ,TkyBrst & Smk Tky Thigh AddFt             ,2118
ad6/TkBTgh        ,TkyBrst & Smk Tky Thigh Add6in            ,2119
dm6/TkBTgh        ,TkyBrst & Smk Tky Thigh Extr6             ,2120
3Bf/EggChs        ,Egg & Cheese 3BkfFb                       ,2121
6Bf/EggChs        ,Egg & Cheese 6BkfFb                       ,2122
6Bk/EggChs        ,Egg & Cheese SixBkf                       ,2123
Bkf/EggChs        ,Egg & Cheese FtbkFb                       ,2124
FbK/EggChs        ,Egg & Cheese Ftbk                         ,2125
#NOM?,Egg Portn                                 ,2126
3Bf/StkEgg        ,"Stk, Egg & Chs 3BkfFb                     ",2127
6Bf/StkEgg        ,"Stk, Egg & Chs 6BkfFb                     ",2128
6Bk/StkEgg        ,"Stk, Egg & Chs SixBkf                     ",2129
Bkf/StkEgg        ,"Stk, Egg & Chs FtbkFb                     ",2130
FbK/StkEgg        ,"Stk, Egg & Chs Ftbk                       ",2131
dbF/StkEgg        ,"Stk, Egg & Chs ExtrFTBfst                 ",2132
db6/StkEgg        ,"Stk, Egg & Chs Extr6Bfst                  ",2133
3Bf/WstEgg        ,Western Egg 3BkfFb                        ,2134
6Bf/WstEgg        ,Western Egg 6BkfFb                        ,2135
6Bk/WstEgg        ,Western Egg SixBkf                        ,2136
Bkf/WstEgg        ,Western Egg FtbkFb                        ,2137
FbK/WstEgg        ,Western Egg Ftbk                          ,2138
16oz16CDrk        ,16oz Fountain Drink 16Fnt                 ,2139
21oz21CDrk        ,21oz Fountain Drink 21Fnt                 ,2140
BxL/B.M.T.        ,B.M.T. BoxLn                              ,2141
fBd/B.M.T.        ,B.M.T. FlatBd                             ,2142
FfB/B.M.T.        ,B.M.T. FtFbd                              ,2143
FtL/B.M.T.        ,B.M.T. FtLong                             ,2144
Six/B.M.T.        ,B.M.T. 6 inch                             ,2145
Sld/B.M.T.        ,B.M.T. Salad                              ,2146
dmF/B.M.T.        ,B.M.T. ExtrFT                             ,2147
adF/B.M.T.        ,B.M.T. AddFt                              ,2148
ad6/B.M.T.        ,B.M.T. Add6in                             ,2149
dm6/B.M.T.        ,B.M.T. Extr6                              ,2150
BxL/Club          ,Subway Club BoxLn                         ,2151
fBd/Club          ,Subway Club FlatBd                        ,2152
FfB/Club          ,Subway Club FtFbd                         ,2153
FtL/Club          ,Subway Club FtLong                        ,2154
Six/Club          ,Subway Club 6 inch                        ,2155
Sld/Club          ,Subway Club Salad                         ,2156
dmF/Club          ,Subway Club ExtrFT                        ,2157
adF/Club          ,Subway Club AddFt                         ,2158
ad6/Club          ,Subway Club Add6in                        ,2159
dm6/Club          ,Subway Club Extr6                         ,2160
fBd/Melt          ,Subway Melt FlatBd                        ,2161
FfB/Melt          ,Subway Melt FtFbd                         ,2162
FtL/Melt          ,Subway Melt FtLong                        ,2163
Six/Melt          ,Subway Melt 6 inch                        ,2164
Sld/Melt          ,Subway Melt Salad                         ,2165
dmF/Melt          ,Subway Melt ExtrFT                        ,2166
dm6/Melt          ,Subway Melt Extr6                         ,2167
fBd/VegPty        ,Veggie Patty FlatBd                       ,2168
FfB/VegPty        ,Veggie Patty FtFbd                        ,2169
FtL/VegPty        ,Veggie Patty FtLong                       ,2170
Six/VegPty        ,Veggie Patty 6 inch                       ,2171
Sld/VegPty        ,Veggie Patty Salad                        ,2172
dmF/VegPty        ,Veggie Patty ExtrFT                       ,2173
adF/VegPty        ,Veggie Patty AddFt                        ,2174
ad6/VegPty        ,Veggie Patty Add6in                       ,2175
dm6/VegPty        ,Veggie Patty Extr6                        ,2176
3Bf/BeefEggChs    ,Beef Egg & Chs 3BkfFb                     ,2177
6Bf/BeefEggChs    ,Beef Egg & Chs 6BkfFb                     ,2178
6Bk/BeefEggChs    ,Beef Egg & Chs SixBkf                     ,2179
Bkf/BeefEggChs    ,Beef Egg & Chs FtbkFb                     ,2180
FbK/BeefEggChs    ,Beef Egg & Chs Ftbk                       ,2181
3Bf/SmkTrkThEggChs,Smk Trk Thigh Egg Chs 3BkfFb              ,2182
6Bf/SmkTrkThEggChs,Smk Trk Thigh Egg Chs 6BkfFb              ,2183
6Bk/SmkTrkThEggChs,Smk Trk Thigh Egg Chs SixBkf              ,2184
Bkf/SmkTrkThEggChs,Smk Trk Thigh Egg Chs FtbkFb              ,2185
FbK/SmkTrkThEggChs,Smk Trk Thigh Egg Chs Ftbk                ,2186
dbF/SmkTrkThEggC  ,Smk Trk Thigh Egg Chs ExtrFTBfst          ,2187
db6/SmkTrkThEggC  ,Smk Trk Thigh Egg Chs Extr6Bfst           ,2188
PlS/StdBse        ,Standard Base SndPlt                      ,2189
GS3/StdBse        ,Standard Base 3FTGnt                      ,2190
GS6/StdBse        ,Standard Base 6FTGntSub                   ,2191
fBd/PizzaS        ,Pizza Sub FlatBd                          ,2192
FfB/PizzaS        ,Pizza Sub FtFbd                           ,2193
FtL/PizzaS        ,Pizza Sub FtLong                          ,2194
Six/PizzaS        ,Pizza Sub 6 inch                          ,2195
Sld/PizzaS        ,Pizza Sub Salad                           ,2196
dmF/PizzaS        ,Pizza Sub ExtrFT                          ,2197
adF/PizzaS        ,Pizza Sub AddFt                           ,2198
ad6/PizzaS        ,Pizza Sub Add6in                          ,2199
dm6/PizzaS        ,Pizza Sub Extr6                           ,2200
fBd/ChxPzl        ,Chicken Pizziola FlatBd                   ,2201
FfB/ChxPzl        ,Chicken Pizziola FtFbd                    ,2202
FtL/ChxPzl        ,Chicken Pizziola FtLong                   ,2203
Six/ChxPzl        ,Chicken Pizziola 6 inch                   ,2204
Sld/ChxPzl        ,Chicken Pizziola Salad                    ,2205
dmF/ChxPzl        ,Chicken Pizziola ExtrFT                   ,2206
adF/ChxPzl        ,Chicken Pizziola AddFt                    ,2207
ad6/ChxPzl        ,Chicken Pizziola Add6in                   ,2208
dm6/ChxPzl        ,Chicken Pizziola Extr6                    ,2209
BxL/Tuna          ,Tuna BoxLn                                ,2210
fBd/Tuna          ,Tuna FlatBd                               ,2211
FfB/Tuna          ,Tuna FtFbd                                ,2212
FtL/Tuna          ,Tuna FtLong                               ,2213
Mni/Tuna          ,Tuna Mini                                 ,2214
Six/Tuna          ,Tuna 6 inch                               ,2215
Sld/Tuna          ,Tuna Salad                                ,2216
dmF/Tuna          ,Tuna ExtrFT                               ,2217
adF/Tuna          ,Tuna AddFt                                ,2218
ad6/Tuna          ,Tuna Add6in                               ,2219
dm6/Tuna          ,Tuna Extr6                                ,2220
#NOM?,Tuna Portn                                ,2221
WM/WalPretzel     ,Walmart Pretzel WlMrt                     ,2222
WM/WalAvoTop      ,Walmart Avocado Topping WlMrt             ,2223
WM/WalChiliTop    ,Walmart Chili Topping WlMrt               ,2224
WM/WalNachoChsTo  ,Walmart Nacho Cheese Top WlMrt            ,2225
WM/WalNacho&Chs   ,Walmart Nachos w/ Chs WlMrt               ,2226
WM/WalPopcornBag  ,Walmart Popcorn Bag WlMrt                 ,2227
WM/WalPopcornCar  ,Walmart Popcorn Carton WlMrt              ,2228
Piz/MghFPz        ,Margherita FtbdPizza Pizza                ,2229
Piz/SpIFPz        ,Spicy Itln Fltbrd Pizza Pizza             ,2230
Piz/CFPiza        ,Cheese Flt Pizza Pizza                    ,2231
Piz/BQCFPz        ,BBQ Chix Fltbrd Pizza Pizza               ,2232
Piz/StCFPz        ,SteakChsFlatPizza Pizza                   ,2233
Piz/VFPiza        ,Veggie Flt Pizza Pizza                    ,2234
Piz/PFPiza        ,Pepperoni Flt Pizza Pizza                 ,2235
H12/12Coff        ,12oz Coffee 12Hot                         ,2236
