RecipeName,RecipeDescription,RecipeId
Six/Tuna          ,Tuna 6 inch                               ,7091
Sld/Tuna          ,Tuna Salad                                ,7093
dmF/Tuna          ,Tuna ExtrFT                               ,7095
adF/Tuna          ,Tuna AddFt                                ,7097
dm6/Tuna          ,Tuna Extr6                                ,7099
ad6/Tuna          ,Tuna Add6in                               ,7101
#NOM?,Tuna Portn                                ,7103
BxL/Turkey        ,Turkey BoxLn                              ,7105
FtL/Turkey        ,Turkey FtLong                             ,7107
Six/Turkey        ,Turkey 6 inch                             ,7109
Sld/Turkey        ,Turkey Salad                              ,7111
dmF/Turkey        ,Turkey ExtrFT                             ,7113
adF/Turkey        ,Turkey AddFt                              ,7115
dm6/Turkey        ,Turkey Extr6                              ,7117
ad6/Turkey        ,Turkey Add6in                             ,7119
#NOM?,Turkey Portn                              ,7121
BxL/ChxTry        ,Chicken Teriyaki BoxLn                    ,7123
FtL/ChxTry        ,Chicken Teriyaki FtLong                   ,7125
Six/ChxTry        ,Chicken Teriyaki 6 inch                   ,7127
Sld/ChxTry        ,Chicken Teriyaki Salad                    ,7129
dmF/ChxTry        ,Chicken Teriyaki ExtrFT                   ,7131
adF/ChxTry        ,Chicken Teriyaki AddFt                    ,7133
dm6/ChxTry        ,Chicken Teriyaki Extr6                    ,7135
ad6/ChxTry        ,Chicken Teriyaki Add6in                   ,7137
#NOM?,Chicken Teriyaki Portn                    ,7139
BxL/RstChx        ,Rst Chicken BoxLn                         ,7141
FtL/RstChx        ,Rst Chicken FtLong                        ,7143
Six/RstChx        ,Rst Chicken 6 inch                        ,7145
Sld/RstChx        ,Rst Chicken Salad                         ,7147
dmF/RstChx        ,Rst Chicken ExtrFT                        ,7149
adF/RstChx        ,Rst Chicken AddFt                         ,7151
ad6/RstChx        ,Rst Chicken Add6in                        ,7153
dm6/RstChx        ,Rst Chicken Extr6                         ,7155
#NOM?,Rst Chicken Portn                         ,7157
BxL/Steak         ,Steak & Chse BoxLn                        ,7159
FtL/Steak         ,Steak & Chse FtLong                       ,7161
Six/Steak         ,Steak & Chse 6 inch                       ,7163
Sld/Steak         ,Steak & Chse Salad                        ,7165
dmF/Steak         ,Steak & Chse ExtrFT                       ,7167
adF/Steak         ,Steak & Chse AddFt                        ,7169
dm6/Steak         ,Steak & Chse Extr6                        ,7171
ad6/Steak         ,Steak & Chse Add6in                       ,7173
#NOM?,Steak & Chse Portn                        ,7175
BxL/RstBf         ,Roast Beef BoxLn                          ,7177
FtL/RstBf         ,Roast Beef FtLong                         ,7179
Six/RstBf         ,Roast Beef 6 inch                         ,7181
Sld/RstBf         ,Roast Beef Salad                          ,7183
dmF/RstBf         ,Roast Beef ExtrFT                         ,7185
adF/RstBf         ,Roast Beef AddFt                          ,7187
dm6/RstBf         ,Roast Beef Extr6                          ,7189
ad6/RstBf         ,Roast Beef Add6in                         ,7191
#NOM?,Roast Beef Portn                          ,7193
BxL/Veggie        ,Veggie Delite BoxLn                       ,7195
FtL/Veggie        ,Veggie Delite FtLong                      ,7197
Six/Veggie        ,Veggie Delite 6 inch                      ,7199
Sld/Veggie        ,Veggie Delite Salad                       ,7201
BxL/Club          ,Subway Club BoxLn                         ,7203
FtL/Club          ,Subway Club FtLong                        ,7205
Six/Club          ,Subway Club 6 inch                        ,7207
Sld/Club          ,Subway Club Salad                         ,7209
dmF/Club          ,Subway Club ExtrFT                        ,7211
adF/Club          ,Subway Club AddFt                         ,7213
dm6/Club          ,Subway Club Extr6                         ,7215
ad6/Club          ,Subway Club Add6in                        ,7217
#NOM?,Subway Club Portn                         ,7219
FtL/Melt          ,Subway Melt FtLong                        ,7221
Six/Melt          ,Subway Melt 6 inch                        ,7223
Sld/Melt          ,Subway Melt Salad                         ,7225
dmF/Melt          ,Subway Melt ExtrFT                        ,7227
adF/Melt          ,Subway Melt AddFt                         ,7229
dm6/Melt          ,Subway Melt Extr6                         ,7231
ad6/Melt          ,Subway Melt Add6in                        ,7233
#NOM?,Subway Melt Portn                         ,7235
FtL/BqRib         ,BBQ Rib FtLong                            ,7237
Six/BqRib         ,BBQ Rib 6 inch                            ,7239
Sld/BqRib         ,BBQ Rib Salad                             ,7241
dmF/BqRib         ,BBQ Rib ExtrFT                            ,7243
adF/BqRib         ,BBQ Rib AddFt                             ,7245
ad6/BqRib         ,BBQ Rib Add6in                            ,7247
dm6/BqRib         ,BBQ Rib Extr6                             ,7249
#NOM?,BBQ Rib Portn                             ,7251
FtL/Meatbl        ,Meatball FtLong                           ,7253
Six/Meatbl        ,Meatball 6 inch                           ,7255
Sld/Meatbl        ,Meatball Salad                            ,7257
dmF/Meatbl        ,Meatball ExtrFT                           ,7259
adF/Meatbl        ,Meatball AddFt                            ,7261
dm6/Meatbl        ,Meatball Extr6                            ,7263
ad6/Meatbl        ,Meatball Add6in                           ,7265
#NOM?,Meatball Portn                            ,7267
FtL/BLT           ,BLT FtLong                                ,7269
Six/BLT           ,BLT 6 inch                                ,7271
Sld/BLT           ,BLT Salad                                 ,7273
ad6/Bacon         ,Bacon Add6in                              ,7275
adF/Bacon         ,Bacon AddFt                               ,7277
adF/BLT           ,BLT AddFt                                 ,7279
dmF/BLT           ,BLT ExtrFT                                ,7281
dm6/BLT           ,BLT Extr6                                 ,7283
ad6/BLT           ,BLT Add6in                                ,7285
FtL/ChPar         ,Chicken Parm FtLong                       ,7287
Six/ChPar         ,Chicken Parm 6 inch                       ,7289
Sld/ChPar         ,Chicken Parm Salad                        ,7291
dmF/ChPar         ,Chicken Parm ExtrFT                       ,7293
